start_time,date,sopr_ratio
2024-12-30,2024-12-30,1.900836612326461
2024-12-31,2024-12-31,2.8373932438254195
2025-01-01,2025-01-01,5.210263849204891
2025-01-02,2025-01-02,1.9790589401627416
2025-01-03,2025-01-03,2.2890129745461354
2025-01-04,2025-01-04,2.5048436981654305
2025-01-05,2025-01-05,2.265595384142451
2025-01-06,2025-01-06,2.1333680667307533
2025-01-07,2025-01-07,1.815513679150776
2025-01-08,2025-01-08,2.055005789159363
2025-01-09,2025-01-09,2.376864003369447
2025-01-10,2025-01-10,2.1435431558410785
2025-01-11,2025-01-11,2.752180234045919
2025-01-12,2025-01-12,2.5077348552126035
2025-01-13,2025-01-13,2.430401861937167
2025-01-14,2025-01-14,2.453342840619077
2025-01-15,2025-01-15,2.5029466778194736
2025-01-16,2025-01-16,2.635958520657685
2025-01-17,2025-01-17,2.4467736928498347
2025-01-18,2025-01-18,3.166227227575871
2025-01-19,2025-01-19,2.5047412494489616
2025-01-20,2025-01-20,2.714160352245354
2025-01-21,2025-01-21,2.4789203790892427
2025-01-22,2025-01-22,3.901356030823542
2025-01-23,2025-01-23,4.8704919525272805
2025-01-24,2025-01-24,2.405843065195596
2025-01-25,2025-01-25,3.1296493010680915
2025-01-26,2025-01-26,3.0187987631121014
2025-01-27,2025-01-27,1.9048764754150929
2025-01-28,2025-01-28,2.879504893676934
2025-01-29,2025-01-29,2.785735771177711
2025-01-30,2025-01-30,1.998619426387408
2025-01-31,2025-01-31,1.984547321726602
2025-02-01,2025-02-01,2.878316495609866
2025-02-02,2025-02-02,2.394367379736608
2025-02-03,2025-02-03,1.8757895484894849
2025-02-04,2025-02-04,1.5542230240825643
2025-02-05,2025-02-05,5.001413487458342
2025-02-06,2025-02-06,3.5818548615885804
2025-02-07,2025-02-07,1.8169340088973291
2025-02-08,2025-02-08,1.874601925274246
2025-02-09,2025-02-09,5.766021327027922
2025-02-10,2025-02-10,2.600254191526203
2025-02-11,2025-02-11,3.7566959261873087
2025-02-12,2025-02-12,2.3506531175276995
2025-02-13,2025-02-13,2.284421903035759
2025-02-14,2025-02-14,2.42835198367324
2025-02-15,2025-02-15,2.9030265861758497
2025-02-16,2025-02-16,2.5405126276136247
2025-02-17,2025-02-17,2.456555267508011
2025-02-18,2025-02-18,2.117690736517452
2025-02-19,2025-02-19,2.349855850619293
2025-02-20,2025-02-20,2.694591783364456
2025-02-21,2025-02-21,1.9090418240509357
2025-02-22,2025-02-22,1.7886847120188971
2025-02-23,2025-02-23,2.2813349892219708
2025-02-24,2025-02-24,2.1717419644378735
2025-02-25,2025-02-25,2.8016985430658177
2025-02-26,2025-02-26,2.388413280315
2025-02-27,2025-02-27,1.632251199724709
2025-02-28,2025-02-28,1.8414499390768315
2025-03-01,2025-03-01,1.8919991052736764
2025-03-02,2025-03-02,3.0920385561615684
2025-03-03,2025-03-03,2.583425596077044
2025-03-04,2025-03-04,1.876345209907307
2025-03-05,2025-03-05,2.1304411541008497
2025-03-06,2025-03-06,1.954462538390568
2025-03-07,2025-03-07,1.7420734878497852
2025-03-08,2025-03-08,2.0810874013552496
2025-03-09,2025-03-09,1.781279450225436
2025-03-10,2025-03-10,2.0258584918870923
2025-03-11,2025-03-11,1.5642983850670664
2025-03-12,2025-03-12,1.3476521853518302
2025-03-13,2025-03-13,2.038647733754056
2025-03-14,2025-03-14,2.1810155131279925
2025-03-15,2025-03-15,2.14700301142651
2025-03-16,2025-03-16,2.102449513505649
2025-03-17,2025-03-17,1.8692535770349052
2025-03-18,2025-03-18,1.9667489743587692
2025-03-19,2025-03-19,2.00126845619411
2025-03-20,2025-03-20,2.2867179787371685
2025-03-21,2025-03-21,2.0763297473297886
2025-03-22,2025-03-22,3.553767467186597
2025-03-23,2025-03-23,1.9731198860694483
2025-03-24,2025-03-24,2.0732336613262223
2025-03-25,2025-03-25,1.8990170021438
2025-03-26,2025-03-26,2.398167973768187
2025-03-27,2025-03-27,2.187348500617402
2025-03-28,2025-03-28,2.805532444572067
2025-03-29,2025-03-29,1.6704867944680997
2025-03-30,2025-03-30,1.90108229737219
2025-03-31,2025-03-31,2.2941004033161083
2025-04-01,2025-04-01,1.6989486103578144
2025-04-02,2025-04-02,1.7542860187908935
2025-04-03,2025-04-03,4.322307275542229
2025-04-04,2025-04-04,1.6200831582318609
2025-04-05,2025-04-05,2.3452081111475875
2025-04-06,2025-04-06,1.828696373403123
2025-04-07,2025-04-07,2.573111612742088
2025-04-08,2025-04-08,1.9438678811809136
2025-04-09,2025-04-09,1.85376747229863
2025-04-10,2025-04-10,2.792736139360266
2025-04-11,2025-04-11,2.413399320381655
2025-04-12,2025-04-12,2.0974265177817677
2025-04-13,2025-04-13,2.678664076685826
2025-04-14,2025-04-14,1.8931194789607169
2025-04-15,2025-04-15,2.046554985923166
2025-04-16,2025-04-16,1.781917706385166
2025-04-17,2025-04-17,1.8760615971089565
2025-04-18,2025-04-18,2.000598824273375
2025-04-19,2025-04-19,1.884299769911945
2025-04-20,2025-04-20,2.1410321469766456
2025-04-21,2025-04-21,2.1030419052212115
